image,target,found,preprocess_time_ms,inference_time_ms,postprocess_time_ms
003_png.rf.85f1564ada6fbb04a7ab4ca0f14648e9.jpg,4,1,13.85149999987334,85.6090840534307,14.529958018101752
003_png.rf.85f1564ada6fbb04a7ab4ca0f14648e9.jpg,M,1,13.85149999987334,85.6090840534307,14.529958018101752
003_png.rf.85f1564ada6fbb04a7ab4ca0f14648e9.jpg,2,1,13.85149999987334,85.6090840534307,14.529958018101752
003_png.rf.85f1564ada6fbb04a7ab4ca0f14648e9.jpg,B,1,13.85149999987334,85.6090840534307,14.529958018101752
003_png.rf.85f1564ada6fbb04a7ab4ca0f14648e9.jpg,1,1,13.85149999987334,85.6090840534307,14.529958018101752
6_jpg.rf.4bfbeca32adc81e3c6f4c91c8948b3a5.jpg,1,1,2.2093330044299364,85.1342499954626,0.59254199732095
6_jpg.rf.4bfbeca32adc81e3c6f4c91c8948b3a5.jpg,G,0,2.2093330044299364,85.1342499954626,0.59254199732095
6_jpg.rf.4bfbeca32adc81e3c6f4c91c8948b3a5.jpg,3,1,2.2093330044299364,85.1342499954626,0.59254199732095
6_jpg.rf.4bfbeca32adc81e3c6f4c91c8948b3a5.jpg,4,0,2.2093330044299364,85.1342499954626,0.59254199732095
6_jpg.rf.4bfbeca32adc81e3c6f4c91c8948b3a5.jpg,2,0,2.2093330044299364,85.1342499954626,0.59254199732095
006_jpg.rf.c657698a8fa2f017a12ca9cec84f04dc.jpg,B,0,2.2111660218797624,70.04404196050018,0.4421669873408973
006_jpg.rf.c657698a8fa2f017a12ca9cec84f04dc.jpg,1,1,2.2111660218797624,70.04404196050018,0.4421669873408973
006_jpg.rf.c657698a8fa2f017a12ca9cec84f04dc.jpg,2,1,2.2111660218797624,70.04404196050018,0.4421669873408973
006_jpg.rf.c657698a8fa2f017a12ca9cec84f04dc.jpg,3,1,2.2111660218797624,70.04404196050018,0.4421669873408973
006_jpg.rf.c657698a8fa2f017a12ca9cec84f04dc.jpg,4,1,2.2111660218797624,70.04404196050018,0.4421669873408973
15_jpg.rf.88dbceda3f11cbad95ef556d1ff677ed.jpg,B,0,2.2892089909873903,67.16445897473022,0.4402910126373172
15_jpg.rf.88dbceda3f11cbad95ef556d1ff677ed.jpg,L,0,2.2892089909873903,67.16445897473022,0.4402910126373172
15_jpg.rf.88dbceda3f11cbad95ef556d1ff677ed.jpg,4,1,2.2892089909873903,67.16445897473022,0.4402910126373172
15_jpg.rf.88dbceda3f11cbad95ef556d1ff677ed.jpg,3,1,2.2892089909873903,67.16445897473022,0.4402910126373172
15_jpg.rf.88dbceda3f11cbad95ef556d1ff677ed.jpg,7,1,2.2892089909873903,67.16445897473022,0.4402910126373172
19_jpg.rf.fa0da97444c807359ffc1de276618690.jpg,1,1,1.6510830027982593,65.98654098343104,0.4422079655341804
19_jpg.rf.fa0da97444c807359ffc1de276618690.jpg,8,0,1.6510830027982593,65.98654098343104,0.4422079655341804
19_jpg.rf.fa0da97444c807359ffc1de276618690.jpg,5,1,1.6510830027982593,65.98654098343104,0.4422079655341804
19_jpg.rf.fa0da97444c807359ffc1de276618690.jpg,3,1,1.6510830027982593,65.98654098343104,0.4422079655341804
19_jpg.rf.fa0da97444c807359ffc1de276618690.jpg,4,1,1.6510830027982593,65.98654098343104,0.4422079655341804
26_jpg.rf.8ceb6f1f77c78cd3fcd3ab3684eeb34f.jpg,0,1,2.9927080031484365,74.35237499885261,0.46541698975488544
26_jpg.rf.8ceb6f1f77c78cd3fcd3ab3684eeb34f.jpg,1,1,2.9927080031484365,74.35237499885261,0.46541698975488544
26_jpg.rf.8ceb6f1f77c78cd3fcd3ab3684eeb34f.jpg,2,1,2.9927080031484365,74.35237499885261,0.46541698975488544
26_jpg.rf.8ceb6f1f77c78cd3fcd3ab3684eeb34f.jpg,12,1,2.9927080031484365,74.35237499885261,0.46541698975488544
28_jpg.rf.8d87351e382e48b188ab0aad681b1d70.jpg,0,0,1.6308749909512699,69.59933298639953,1.0602499824017286
28_jpg.rf.8d87351e382e48b188ab0aad681b1d70.jpg,1,1,1.6308749909512699,69.59933298639953,1.0602499824017286
28_jpg.rf.8d87351e382e48b188ab0aad681b1d70.jpg,2,0,1.6308749909512699,69.59933298639953,1.0602499824017286
49_jpg.rf.8f38c3d5e2a3f043162daa9168fe49d2.jpg,B,0,1.994042017031461,68.04899999406189,0.5125420284457505
49_jpg.rf.8f38c3d5e2a3f043162daa9168fe49d2.jpg,0,1,1.994042017031461,68.04899999406189,0.5125420284457505
49_jpg.rf.8f38c3d5e2a3f043162daa9168fe49d2.jpg,G,0,1.994042017031461,68.04899999406189,0.5125420284457505
49_jpg.rf.8f38c3d5e2a3f043162daa9168fe49d2.jpg,5,0,1.994042017031461,68.04899999406189,0.5125420284457505
49_jpg.rf.8f38c3d5e2a3f043162daa9168fe49d2.jpg,9M,1,1.994042017031461,68.04899999406189,0.5125420284457505
